Month_year,City of London,Barking & Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith & Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington & Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster
,E09000001,E09000002,E09000003,E09000004,E09000005,E09000006,E09000007,E09000008,E09000009,E09000010,E09000011,E09000012,E09000013,E09000014,E09000015,E09000016,E09000017,E09000018,E09000019,E09000020,E09000021,E09000022,E09000023,E09000024,E09000025,E09000026,E09000027,E09000028,E09000029,E09000030,E09000031,E09000032,E09000033
Jan-99,"1,49,143","64,532","1,26,189","83,064","1,05,461","1,12,544","1,70,961","91,179","1,12,914","94,831","86,685","99,489","1,78,179","1,07,523","1,18,611","89,521","1,02,147","1,01,234","1,35,270","2,78,269","1,19,773","1,06,119","77,528","1,09,274","69,439","96,338","1,74,889","1,00,115","94,888","1,07,464","78,117","1,26,280","1,88,601"
Feb-99,"1,64,545","64,166","1,27,017","82,928","1,05,818","1,11,889","1,73,480","91,102","1,13,767","95,082","86,117","98,976","1,77,830","1,08,704","1,19,072","89,272","1,01,774","1,02,182","1,37,961","2,89,467","1,18,098","1,07,158","79,267","1,09,397","70,159","97,154","1,71,216","1,02,573","94,864","1,05,113","78,645","1,22,987","1,98,481"
Mar-99,"1,74,586","63,528","1,26,902","83,334","1,07,528","1,12,486","1,78,877","91,471","1,15,215","95,551","85,175","98,492","1,81,256","1,09,969","1,20,273","88,939","1,02,525","1,02,927","1,42,815","2,85,638","1,19,697","1,06,659","79,579","1,14,816","69,459","98,313","1,69,590","1,04,235","94,881","1,02,998","78,934","1,27,450","2,05,497"
Apr-99,"1,91,157","63,580","1,27,883","84,267","1,06,234","1,14,994","1,82,926","93,440","1,18,844","97,457","84,727","98,420","1,83,111","1,11,510","1,21,329","90,145","1,03,632","1,04,553","1,49,722","2,83,232","1,21,128","1,09,746","80,440","1,16,424","70,791","99,209","1,68,780","1,04,884","95,455","1,01,336","79,754","1,30,610","2,08,213"
May-99,"1,91,081","64,508","1,29,393","84,513","1,06,089","1,17,944","1,80,781","94,895","1,21,735","99,422","87,081","1,00,036","1,88,009","1,14,016","1,21,249","91,042","1,05,696","1,07,062","1,52,447","2,91,011","1,24,602","1,12,374","81,887","1,19,216","71,397","1,00,043","1,70,752","1,03,566","96,908","1,05,613","80,973","1,39,289","2,07,511"
Jun-99,"1,85,993","64,704","1,32,608","85,021","1,07,313","1,19,895","1,85,845","96,008","1,24,015","1,01,265","88,406","1,02,701","1,94,147","1,17,650","1,22,935","92,572","1,07,688","1,10,970","1,54,915","3,00,774","1,27,260","1,12,867","84,096","1,20,264","73,247","1,01,167","1,73,667","1,02,710","99,179","1,09,233","81,739","1,43,191","2,07,264"
Jul-99,"1,64,056","64,921","1,36,102","85,713","1,10,807","1,21,699","1,91,808","96,700","1,26,198","1,02,427","90,491","1,04,317","2,00,248","1,22,748","1,24,986","93,171","1,09,614","1,14,021","1,55,872","3,09,698","1,30,427","1,17,305","84,693","1,22,197","74,420","1,01,993","1,79,381","1,04,363","1,01,023","1,13,502","83,839","1,51,141","2,12,332"
Aug-99,"1,60,905","65,385","1,39,741","86,489","1,14,279","1,23,501","1,98,650","97,742","1,30,341","1,04,178","91,885","1,08,552","2,06,929","1,27,102","1,29,398","93,855","1,10,657","1,17,901","1,61,064","3,17,394","1,33,296","1,20,470","86,544","1,25,514","75,708","1,03,992","1,85,242","1,10,012","1,02,594","1,15,474","84,740","1,57,424","2,15,078"
Sep-99,"1,66,193","66,003","1,43,596","88,719","1,17,070","1,25,782","2,03,513","99,323","1,34,669","1,05,624","94,542","1,10,407","2,12,565","1,32,072","1,32,089","94,554","1,12,081","1,19,391","1,66,652","3,33,918","1,36,296","1,25,138","87,576","1,28,106","77,254","1,05,369","1,90,023","1,19,480","1,03,960","1,20,786","86,955","1,61,457","2,26,465"
Oct-99,"1,63,490","66,367","1,45,287","90,657","1,19,229","1,28,022","2,06,707","1,01,977","1,37,400","1,07,849","96,499","1,12,403","2,15,275","1,30,916","1,35,108","95,636","1,14,178","1,19,750","1,69,146","3,41,202","1,39,655","1,25,678","90,084","1,30,654","79,289","1,07,812","1,92,255","1,25,224","1,05,847","1,22,838","88,551","1,61,755","2,27,557"
Nov-99,"1,75,143","67,344","1,47,825","92,722","1,22,663","1,29,998","2,09,300","1,04,762","1,38,555","1,09,730","98,617","1,14,772","2,21,982","1,28,756","1,36,751","97,259","1,16,884","1,21,084","1,70,172","3,52,620","1,41,565","1,26,668","91,595","1,32,579","80,778","1,10,839","2,00,454","1,24,126","1,08,952","1,25,415","91,421","1,60,897","2,34,440"
Dec-99,"1,69,309","68,812","1,49,510","93,905","1,23,398","1,31,735","2,10,240","1,07,480","1,41,687","1,10,428","1,00,325","1,17,831","2,27,285","1,30,036","1,38,450","98,706","1,20,228","1,23,809","1,71,040","3,54,241","1,44,567","1,29,214","93,053","1,34,376","82,366","1,13,057","2,05,019","1,21,923","1,11,886","1,26,650","92,190","1,61,596","2,37,074"
Jan-00,"1,73,738","71,079","1,53,676","94,978","1,26,785","1,33,997","2,17,700","1,09,119","1,44,352","1,11,689","1,02,411","1,21,135","2,29,465","1,33,953","1,41,115","1,00,714","1,20,742","1,28,285","1,74,119","3,55,951","1,46,959","1,32,007","95,725","1,37,687","83,681","1,15,193","2,09,937","1,21,970","1,15,040","1,28,200","93,975","1,65,376","2,41,773"
Feb-00,"1,74,152","72,633","1,56,797","96,820","1,29,605","1,37,629","2,28,163","1,10,941","1,45,284","1,12,877","1,02,030","1,22,281","2,29,606","1,36,422","1,43,046","1,02,533","1,22,781","1,29,268","1,77,761","3,52,516","1,51,118","1,35,770","98,810","1,41,816","85,462","1,16,132","2,07,134","1,30,272","1,16,907","1,28,810","94,469","1,70,409","2,49,505"
Mar-00,"1,78,339","73,624","1,59,939","98,306","1,34,098","1,41,094","2,30,541","1,11,889","1,46,463","1,16,373","1,01,218","1,21,356","2,33,873","1,38,335","1,45,377","1,04,182","1,23,504","1,30,506","1,80,996","3,60,878","1,53,883","1,36,645","1,01,880","1,45,380","86,723","1,18,107","2,10,007","1,32,454","1,17,684","1,30,069","96,776","1,76,526","2,49,858"
Apr-00,"1,83,101","73,800","1,62,988","99,378","1,37,261","1,44,534","2,39,659","1,14,686","1,49,701","1,18,217","1,04,055","1,23,168","2,44,244","1,41,693","1,46,687","1,06,343","1,27,249","1,32,160","1,87,454","3,76,493","1,58,072","1,42,636","1,04,421","1,48,309","88,976","1,19,155","2,17,531","1,34,806","1,19,787","1,36,084","99,081","1,83,066","2,61,213"
May-00,"1,75,041","75,126","1,65,737","1,01,274","1,40,113","1,47,556","2,48,815","1,17,832","1,53,334","1,20,935","1,07,371","1,27,912","2,46,593","1,43,566","1,50,698","1,08,520","1,29,652","1,33,955","1,91,388","3,82,489","1,61,339","1,45,228","1,03,960","1,51,026","90,941","1,22,803","2,25,531","1,33,380","1,23,844","1,42,126","1,02,387","1,84,200","2,60,800"
Jun-00,"1,98,191","76,939","1,69,025","1,02,654","1,42,654","1,50,427","2,61,773","1,20,124","1,55,191","1,22,881","1,11,237","1,35,189","2,45,884","1,48,610","1,53,953","1,10,771","1,31,651","1,38,854","1,95,606","3,72,276","1,64,611","1,49,818","1,07,435","1,52,343","93,272","1,23,673","2,32,298","1,37,528","1,28,893","1,46,213","1,04,173","1,87,475","2,66,373"
Jul-00,"2,14,852","78,869","1,70,521","1,04,526","1,43,702","1,51,438","2,64,647","1,21,235","1,56,899","1,24,835","1,13,784","1,38,909","2,44,307","1,51,039","1,56,711","1,11,484","1,33,753","1,41,803","2,01,103","3,84,497","1,65,708","1,48,317","1,08,336","1,56,829","95,877","1,26,566","2,32,119","1,42,871","1,30,589","1,46,151","1,05,135","1,90,075","2,62,937"
Aug-00,"2,21,952","80,150","1,73,966","1,06,696","1,44,148","1,53,324","2,62,124","1,20,921","1,58,659","1,25,647","1,15,377","1,42,309","2,56,550","1,55,216","1,57,833","1,11,635","1,35,555","1,45,402","1,99,567","3,88,375","1,68,037","1,51,419","1,11,816","1,59,104","97,636","1,26,944","2,36,930","1,49,037","1,30,727","1,45,689","1,06,415","1,96,110","2,67,330"
Sep-00,"2,23,175","81,761","1,75,610","1,08,170","1,46,654","1,53,852","2,58,782","1,23,050","1,58,829","1,26,041","1,18,005","1,42,620","2,57,847","1,53,165","1,57,220","1,12,094","1,37,805","1,44,173","1,98,954","3,97,353","1,69,491","1,54,821","1,12,515","1,60,357","97,896","1,30,339","2,38,716","1,55,166","1,31,005","1,46,877","1,08,439","1,95,150","2,68,578"
Oct-00,"2,45,062","82,501","1,76,603","1,08,290","1,49,447","1,53,769","2,49,224","1,24,661","1,57,042","1,27,811","1,15,955","1,41,116","2,60,127","1,49,659","1,58,301","1,13,498","1,37,915","1,40,048","1,96,817","3,71,261","1,71,714","1,57,638","1,13,887","1,56,860","96,888","1,31,252","2,43,684","1,59,154","1,32,208","1,47,004","1,09,161","1,89,131","2,65,928"
Nov-00,"3,21,773","82,386","1,75,250","1,08,062","1,48,553","1,53,273","2,50,927","1,25,098","1,56,617","1,27,358","1,15,946","1,39,017","2,56,594","1,50,552","1,58,930","1,15,076","1,38,797","1,37,271","2,02,011","3,86,824","1,71,133","1,61,435","1,13,914","1,55,381","97,619","1,31,417","2,41,545","1,57,278","1,32,784","1,50,303","1,08,303","1,86,147","2,62,800"
Dec-00,"3,14,772","81,726","1,75,320","1,09,084","1,48,529","1,53,030","2,53,022","1,25,773","1,57,342","1,27,408","1,14,567","1,37,718","2,62,106","1,49,757","1,60,060","1,16,342","1,37,783","1,37,773","2,05,834","3,92,714","1,71,603","1,60,732","1,12,293","1,54,173","99,677","1,30,970","2,38,962","1,53,285","1,31,955","1,47,927","1,08,054","1,87,644","2,68,812"
